City,Type,Area,Price,Purpose,Location,Built in year,Bedrooms,Bathrooms,price,Area_sqft,price_category,property_age_group,price_per_sqft,region
karachi,house,120 Sq. Yd.,"PKR
2.99 Crore",For Sale,"Scheme 33, Karachi, Sindh",2024.0,6.0,6.0,29900000.000000004,1080.0,Mid,New,27685.18518518519,Sindh
karachi,flat,72 Sq. Yd.,"PKR
60 Lakh",For Sale,"Scheme 33, Karachi, Sindh",2016.0,2.0,2.0,6000000.0,648.0,Low,New,9259.25925925926,Sindh
karachi,house,125 Sq. Yd.,"PKR
1.08 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,3.0,3.0,10800000.0,1125.0,Mid,,9600.0,Sindh
karachi,house,272 Sq. Yd.,"PKR
3 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2025.0,5.0,6.0,30000000.0,2448.0,Mid,New,12254.901960784313,Sindh
karachi,flat,233 Sq. Yd.,"PKR
5.65 Crore",For Sale,"Bath Island, Karachi, Sindh",,3.0,3.0,56500000.0,2097.0,High,,26943.252265140676,Sindh
karachi,house,375 Sq. Yd.,"PKR
8.2 Crore",For Sale,"Malir, Karachi, Sindh",2015.0,4.0,5.0,82000000.0,3375.0,High,Moderate,24296.296296296296,Sindh
karachi,house,350 Sq. Yd.,"PKR
7.6 Crore",For Sale,"Malir, Karachi, Sindh",2005.0,4.0,4.0,76000000.0,3150.0,High,Moderate,24126.984126984127,Sindh
karachi,flat,206 Sq. Yd.,"PKR
3 Crore",For Sale,"Jinnah Avenue, Karachi, Sindh",2024.0,3.0,4.0,30000000.0,1854.0,Mid,New,16181.229773462783,Sindh
karachi,house,500 Sq. Yd.,"PKR
9.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2010.0,5.0,6.0,95000000.0,4500.0,High,Moderate,21111.11111111111,Sindh
karachi,house,250 Sq. Yd.,"PKR
14 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,5.0,6.0,140000000.0,2250.0,High,,62222.22222222222,Sindh
karachi,house,150 Sq. Yd.,"PKR
6.25 Crore",For Sale,"DHA Defence, Karachi, Sindh",,4.0,5.0,62500000.0,1350.0,High,,46296.2962962963,Sindh
karachi,house,120 Sq. Yd.,"PKR
1.85 Crore",For Sale,"Scheme 33, Karachi, Sindh",,4.0,5.0,18500000.0,1080.0,Mid,,17129.62962962963,Sindh
karachi,flat,131 Sq. Yd.,"PKR
4.7 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,2.0,2.0,47000000.0,1179.0,Mid,New,39864.29177268872,Sindh
karachi,house,306 Sq. Yd.,"PKR
14.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2022.0,4.0,6.0,145000000.0,2754.0,High,New,52650.68990559187,Sindh
karachi,house,240 Sq. Yd.,"PKR
5.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,6.0,6.0,57500000.0,2160.0,High,,26620.37037037037,Sindh
karachi,upper portion,200 Sq. Yd.,"PKR
2 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2023.0,3.0,3.0,20000000.0,1800.0,Mid,New,11111.111111111111,Sindh
karachi,house,600 Sq. Yd.,"PKR
12 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",1994.0,5.0,5.0,120000000.0,5400.0,High,Old,22222.222222222223,Sindh
karachi,flat,72 Sq. Yd.,"PKR
70 Lakh",For Sale,"Scheme 33, Karachi, Sindh",2012.0,2.0,2.0,7000000.0,648.0,Low,Moderate,10802.469135802468,Sindh
karachi,house,120 Sq. Yd.,"PKR
2.5 Crore",For Sale,"Scheme 33, Karachi, Sindh",,4.0,5.0,25000000.0,1080.0,Mid,,23148.14814814815,Sindh
karachi,flat,72 Sq. Yd.,"PKR
58 Lakh",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2000.0,2.0,2.0,5800000.0,648.0,Low,Old,8950.617283950618,Sindh
karachi,flat,106 Sq. Yd.,"PKR
3.17 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,2.0,2.0,31700000.0,954.0,Mid,Moderate,33228.511530398326,Sindh
karachi,house,160 Sq. Yd.,"PKR
1.31 Crore",For Sale,"Karachi Motorway, Karachi, Sindh",2018.0,3.0,3.0,13100000.0,1440.0,Mid,New,9097.222222222223,Sindh
karachi,flat,111 Sq. Yd.,"PKR
93 Lakh",For Sale,"Scheme 33, Karachi, Sindh",2018.0,2.0,3.0,9300000.0,999.0,Low,New,9309.309309309308,Sindh
karachi,house,240 Sq. Yd.,"PKR
2.2 Crore",For Sale,"Karachi Motorway, Karachi, Sindh",,4.0,4.0,22000000.0,2160.0,Mid,,10185.185185185184,Sindh
karachi,flat,72 Sq. Yd.,"PKR
68 Lakh",For Sale,"Scheme 33, Karachi, Sindh",,2.0,2.0,6800000.0,648.0,Low,,10493.827160493827,Sindh
karachi,flat,267 Sq. Yd.,"PKR
5 Crore",For Sale,"Clifton, Karachi, Sindh",2022.0,3.0,4.0,50000000.0,2403.0,Mid,New,20807.324178110695,Sindh
karachi,house,152 Sq. Yd.,"PKR
2.22 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2020.0,3.0,3.0,22200000.000000004,1368.0,Mid,New,16228.0701754386,Sindh
karachi,house,"1,000 Sq. Yd.","PKR
35 Crore",For Sale,"DHA Defence, Karachi, Sindh",,6.0,7.0,350000000.0,9000.0,Luxury,,38888.88888888889,Sindh
karachi,house,500 Sq. Yd.,"PKR
4.9 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,5.0,5.0,49000000.0,4500.0,Mid,,10888.888888888889,Sindh
